amount,location
17835,300 WAVERLY AVE
10780,200 WALNUT PL
6880,100 MARSHALL ST
6845,700 COMSTOCK AVE
5830,200 BANK ALLEY
5630,900 WALNUT AVE
5500,300 MONTGOMERY ST
5430,900 MADISON ST
5200,300 WALNUT PL
4770,300 SALINA ST S
4705,300 WARREN ST S
4640,100 COMSTOCK AVE
4510,1000 MADISON ST
3990,100 DELL ST
3985,1000 EILEEN COLLINS BLVD
3970,700 LIVINGSTON AVE
3740,800 ACKERMAN AVE
3720,300 WASHINGTON ST E
3710,200 WALTON ST
3420,700 WALNUT AVE
3195,200 WASHINGTON ST W
3055,600 STATE ST S
3025,700 IRVING AVE
3015,400 MARSHALL ST
2940,400 WARREN ST S
2900,200 JEFFERSON ST W
2900,600 WALNUT AVE
2870,900 FAYETTE ST E
2855,500 WALNUT AVE
2810,200 COMSTOCK AVE
2810,800 WALNUT AVE
2785,800 LANCASTER AVE
2735,700 CROUSE AVE S
2735,100 WALNUT PL
2710,400 MONTGOMERY ST
2700,200 JEFFERSON ST E
2685,300 ONONDAGA ST E
2495,300 FORMAN AVE
2480,200 MARSHALL ST
2395,100 REMINGTON AVE
2335,900 ACKERMAN AVE
2330,1400 SALT SPRINGS RD
2325,200 PROSPECT AVE
2325,800 SUMNER AVE
2270,800 LIVINGSTON AVE
2210,200 EUCLID AVE
2035,700 STATE ST S
2020,400 SALINA ST S
1980,1000 MCBRIDE ST S
1975,200 WARREN ST S
1960,200 DORCHESTER AVE
1900,400 LAUREL ST E
1875,700 LANCASTER AVE
1865,700 FAYETTE ST E
1855,800 MARYLAND AVE
1815,100 REDFIELD PL
1790,200 MADISON ST
1750,200 WATER ST E
1720,900 LANCASTER AVE
1710,400 GENESEE ST E
1700,300 JEFFERSON ST W
1700,400 BOYDEN ST
1685,500 MONTGOMERY ST
1680,200 GENESEE ST W
1670,100 ASHWORTH PL
1645,100 WAYNE ST
1640,700 SUMNER AVE
1635,1100 MADISON ST
1605,100 WASHINGTON ST E
1600,300 GREEN ST
1595,200 SALINA ST S
1575,700 MARYLAND AVE
1555,700 EUCLID AVE
1525,600 WILLIS AVE
1500,100 JEFFERSON ST E
1490,900 MCBRIDE ST S
1465,400 PROSPECT AVE
1465,800 CROUSE AVE S
1465,300 TENNYSON AVE
1450,100 MADISON ST
1450,600 CROUSE AVE S
1435,100 WARREN ST S
1430,100 WALTON ST
1420,400 ULSTER ST
1405,200 ASH ST
1385,100 CLARENDON ST
1385,300 EUCLID AVE
1385,401 MONTGOMERY ST
1370,100 BANK ALLEY
1350,700 TOWNSEND ST N
1335,200 FAYETTE ST W
1325,300 TURTLE ST
1310,100 OSTROM AVE
1285,800 MADISON ST
1280,300 OTISCO ST
1275,600 PARK AVE
1275,100 JUDSON ST
1275,500 CLINTON ST S
1265,100 BURNET AVE
1250,100 CLIFTON PL
1250,100 JEFFERSON ST W
1245,600 TOWNSEND ST N
1245,300 WHITTIER AVE
1240,700 ACKERMAN AVE
1220,500 WARREN ST S
1210,100 FORDHAM RD
1205,200 TENNYSON AVE
1200,400 CROUSE AVE S
1200,100 THORNDON PARK
1190,300 CLINTON ST S
1180,200 WOODBINE AVE
1180,1200 MADISON ST
1135,100 BELLE AVE
1135,200 HAWLEY AVE
1115,100 JOHN ST
1100,800 UNIVERSITY AVE
1095,100 GREEN ST
1095,300 FRANKLIN ST S
1095,200 WHITTIER AVE
1090,200 GENESEE PK DR
1085,200 LEXINGTON AVE
1085, CITY LOT 21
1080,100 ELDORADO ST
1080,100 OLIVE ST
1070,900 HARRISON ST
1060,100 WOODBINE AVE
1050,511 STATE ST S
1045,100 BRYANT AVE
1045,200 CLINTON ST N
1040,100 HERBST AVE
1035,300 FAYETTE ST W
1035,300 WASHINGTON ST W
1000,100 COMSTOCK PL
1000,500 COMSTOCK AVE
1000,300 ROOSEVELT AVE
